2024-01-01,Opening Balance,0.00,1000.00
2024-01-05,Rent Payment,1200.00,0.00
2024-01-10,Grocery Store,85.50,0.00
2024-01-15,Paycheck,0.00,2500.00
2024-01-18,Electric Bill,125.00,0.00
2024-01-20,Restaurant Dinner,45.00,0.00
2024-01-22,Gas Station,52.30,0.00
2024-01-25,Coffee Shop,12.50,0.00
2024-01-28,Netflix Subscription,15.99,0.00
2024-01-30,Grocery Store,92.75,0.00
2024-02-01,Rent Payment,1200.00,0.00
2024-02-05,Grocery Store,78.25,0.00
2024-02-10,Water Bill,45.00,0.00
2024-02-15,Paycheck,0.00,2500.00
2024-02-18,Restaurant Lunch,28.50,0.00
2024-02-20,Pharmacy,35.00,0.00
2024-02-22,Gas Station,48.75,0.00
2024-02-25,Amazon Purchase,156.99,0.00
2024-02-28,Netflix Subscription,15.99,0.00
